,sentences,raw_sentences
429,need contact customer service directly ,Need to contact customer service directly .
430,dm contact email customer service   need assistance ,Please DM contact email for customer service . need assistance .
431,buy item   deliver saturday ,"Bought item , due to be delivered Saturday ."
432,receive item   despite marked deliver ,"Never received item , despite being marked as delivered ."
433,response seller   delivery service assist lose   miss package ,"No response from seller , delivery services can not assist with lost / missing package ."
434,advise ,Please advise ..
435,sorry delay trouble   melanie ,"Sorry for the delay and trouble , Melanie !"
436,team    ,"So we can get our team on this with you , please call using : https://t.co/LkhXOWWq74 .."
437,hi ,Hi !
438,change password   hack   ,Someone changed my password ( hacked ) .
439,ask reset link x hour ago email ,Asked reset link x 3 over an hour ago no email .
440,junk ,Not in junk .
441,  ,What can I do ? .
442,browse home   press option detail   gt   page   gt   use episode tab browse   pick ep ,"If browsing from Home , press the option for more details & gt ; go to the show page & gt ; use the Episodes tab to browse / pick an ep .."
443,sorry hear   heather ,"We 're sorry to hear this , Heather !"
444,particular new app find frustrating ,Anything in particular about the new app that you find frustrating ?
445,help ,We 're here to help ..
446,hate ,We 'd hate to see you go !
447,hdmi mirroring support time   sure share interest w   team ,"HDMI mirroring is n't supported at this time , but we 'll be sure to share the interest in this w / our team ."
448,love lose home internet   learn nt mirror hulu ipad hdmi adapter ,Love but lost home internet&amp ; just learned ca n’t Mirror Hulu on iPad hdmi adapter .
449,want hulu live ,Wanted to get Hulu live .
450,guess ll cancel hulu   amp   look like   hulu     ,Guess I ’ll have to cancel all of Hulu & amp ; look at or something like that 😢 why # Hulu why ? ? ? .
451,college student nt use mom   family account m away college ,i am a college student why ca n’t i still use my Mom’s / family account while I ’m away at college .
452,good contact number reach   ,Do you have a good contact number where you can be reached ? .
453,good contact number reach ,Do you have a good contact number where you can be reached ?
454,send private link ,Please send through the private link ..
455,hello link need additional information work get phone unlocked ,Hello please go to the link I will need additional information to work on getting phones unlocked .
456,save big good selling phone    amp   free upgrade phone consecutive time payment ,"Save big our best selling phones , & amp ; get FREE Upgrades to any phone after 12 consecutive on time payments https://t.co/yvX1tLnLlZ."
457,look ,I can look into that for you .
458,send account phone number directly private message ,Can you please send me your account or phone number directly in a private message ?
459,nt follow nt mind ll got ta great   jury ,"You do n’t follow me so I ca n’t never mind we ’ll call but got ta say was great , jury still out on ."
460,happy discuss problem dm link send ,Will be happy to discuss my problem in DM but not thru link you sent .
461,apology issue currently have ,My apologies for any issues you 're currently having .
462,happy help ,I 'd be happy to help anyway we can .
463,dm service p   ,Please DM your service p ... https://t.co/pcCWPPfuNu .
464,apologize ,I apologize .
465,number provide bring account ,The number provided is not bringing up an account .
466,dm address   ,"Can you DM me your full address , please ?"
467,nt order online   say   connect chipotle supercomputer   ,"ca nt order online , says "" can not connect to chipotle supercomputer . """
468,app ,on the app ..
469,dig ,We dig it !
470,thank stop ,Thanks for stopping by .
471,happy halloween   ,Happy Halloween ! .
472,oh happy halloween ,Oh what a Happy Halloween it is 🙌 🏼 https://t.co/UvC4oAnUwE.
473,chipotletweet app nt work anymore ix ,.@ChipotleTweets app does n’t work anymore in the 6ix .
474,lame ,Lame ..
475,,no !
476,say    ,it just says amount due $ 27.04 .
477,receive bill oct disconnected account sept th ,Why am I still receiving a bill for oct when I disconnected by account on sept 20th ?
478,pls advise   amp   reverse charge ,pls advise & amp ; reverse the charges .
479,hello   like add track info invoice   add track info   link lead blank page ,"Hello , I 'd like to add tracking info to my invoice but the "" Add tracking info "" link always lead to blank page ."
480,help ,Please help ..
481,set paypal account ,I set up a paypal account before i was 18 .
482,fair play   bad ,"Fair play , my bad ."
483,wonder shut account restart m   ,Was wondering if i could shut down the account so i can restart it now i m 18 ? .
484,sadly close account   close account op   ,"Sadly we can not close this account until you are 18 , but we can close this account once you are 18 and you can op ... https://t.co/hIEXXEzY1f ."
485,locked account hrs ,Been locked out of my account for 2 hrs .
486,different agent reset account   amp   dice soon phone ,2 different agents have “ reset my account for me ” & amp ; still no dice as soon as they get off phone .
487,hi   sorry hear   get error message error code   let know detail   ,"Hi there , Sorry to hear that , Are you getting an error message or an error code , Let us know more details please ? ."
488,account tell reset password ,My account is telling me to reset my password
489,nt know date birth ,but i do nt know my date of birth
490,know password account ,but i know my password for the account .
491,help ,help .
492,psn ,my psn i
493,d quochuy   help ,"d quochuy046 , can you help me ?"
494,email try help ,Or can I email someone a try for help ?
495,live chat web block ,live chat on web block me ?
496,wtf   ,wtf ? .
497,billing issue   update exp date acct    ps able renew ,"Less a billing issue ( I updated the exp date in acct ) , more ps+ was n't able to renew ."
498,sure stay current   lose   ,How do i make sure it stays current / not lose anything ? .
499,get account change email ,someone got to my account and changed the email .
500,fill web form link reach them- thank ,Fill the web form using this link to reach them- https://t.co/0jQc5ucYzc Thanks !
501,  ,2/2 https://t.co/a2xkfCrUG1 .
502,hey daniel   help ,"Hey Daniel , I 'm here to help !"
503,wish speak need contact hp phone support ,If you wish to speak to someone then you need to contact HP phone support .
504,   ,... 1/2 .
505,  hello   order cash   need click link ultimate reward website ,"1/2 Hello , in order to get the cash back , you 'll need to click the link from the Ultimate Rewards website ."
506,route ,You 'll be routed .
507,hey gon na need talk pende charge go account day transaction ,Hey we 're gon na need to talk about all these pending charges that keep going through my account 5 days after the transaction was made ....
508,get real irritated ,I 'm getting real irritated ..
509,get phone   guy great   ,"Just got off the phone with them , you guys were great ! ."
510,happy look ,We would be happy to look into this for you .
511,dm zip code ,Could you DM your name and zip code ?
512,,https://t.co/znUu1VJn9r .
513,find e mail online ,I could n't find an e mail online .
514,apartment address number   update ensure card get   ,"You have my apartment address but not my number , how can I update that to ensure the card gets to me ? ."
515,hello   sound good ,"Hello , this does not sound good ."
516,dm account complete service address ,Can you DM the account name and complete service address ?
517,like help ,We would like to help .
518,push hard finally get team lead reach tech ,Had to push hard but finally got a team lead to reach out to on call tech .
519,outage issue solve    csissue   csfail ,Outage issue solved ; # CSIssue not # CSFail .
520,hi fsnsn   dm account info include street address look ,"Hi 🎃 Fɍ1sꝀɇNsŦɇƗn 👻 , please DM account info including street address so we can look into this ."
521,,https://t.co/ovAKPb0TYC .
522,hello   sound good ,"Hello , this does not sound good ."
523,dm account complete service address ,Can you DM the account name and complete service address ?
524,like help ,We would like to help .
525,receive ,I have n't received it as of yet .
526,contract delivery product seller ,And I have a contract with you for the delivery of product not with seller ..
527,  instead tell contact seller guy contact seller ,"So , instead of telling me to contact the seller you guys should contact the seller .."
528,receive ,I have n't received anything as of yet .
529,contact seller tomorrow morning ,I 'll contact seller tomorrow morning .
530,service pathetic ,But your service is pathetic ..
531,view link ,Did you view our link ?
532,refund ,We can give a refund if you do n't get it !
533,look guarantee step activate ,Just look at our guarantee for steps on activating it .
534,appreciate get refund previous damage product ebay ,I would appreciate that I got the refund of my previous damaged product from eBay .
535,timeline delivery ,But where are the timelines for delivery ..
536,email address associate account    email    ,The email address associated with my account is _ _ email _ _ ..
537,look refund ,I 'm not looking for the refund .
538,check account condemn service bad packing ,Just check my account and you would yourself condemn your service and worst packing ..
539,provide refund ,and so you have provided me the refund for that .
540,mad product order product st ,But as I was mad about this product so I ordered the same product on 21st ..
541,  dm   zip code   amp   item number   amp   advise date ,"If you still ca n't see this , please DM us your full name , Zip code & amp ; item number & amp ; we 'll advise on this date for you ."
542,ml ,2/2^ML .
543,thank reply ,Thank you for your reply .
544,estimate delivery date order available view purchase history ,The estimate delivery date for this order will be available to view in your ‘ Purchase History’.1/2 .
545,estimate delivery d   oct fri   oct ,"Estimated delivery We d , 25 Oct Fri , 27 Oct"
546,pay paisapay   ,You have paid using PaisaPay on 21/10/17 .
547,nt receive   ,but i have nt received it yet on 1/11/17 ..
548,happy look claim ,Well I would be more than happy to take a look at that claim for you .
549,dm detail ,Could you DM us with more details please ?
550,delivery company say deliver street wo address seller say proof ,The delivery company is saying they delivered it to my street wo n't give address the seller is saying she has proof but no one will show me .
551,change work dropbox account personal account ,How can I change my work Dropbox account back to a personal account ?
552,test trial version want account personal ,I tested the trial version now I want my account to be personal again ..
553,fyi solution   marketing db business notice read ebook link break ,FYI was on your solutions / marketing of DB Business and noticed the read the eBook link is broken ...
554,  ,https://t.co/aRWCfgYMoO. Please do !
555,user   like hide irrelevant old contact suggestion   order room relevant one ,"“ As a user , I would like to hide irrelevant or old contacts from suggestions , in order to make room for relevant ones . ”"
556,  ,:) .
557,update tier point account thank ,can you please update my tier points on my account thanks ..
558,spoken team phone ,Have you spoken to our team on the phone about this ?
559,advise ,What were you advised ?
560,rd hope sort   book flight guy people detail incorrect worried   ,"3rd call to hoping everything is sorted , booked flights for 4 guys and 2 peoples details were incorrect should I be worried ? ."
561,send message clicking link ,You can send us a message by clicking the link below .
562,,https://t.co/CoOXedUuUC .
563,hello   like know twitter post ,"Hello , we 'd like to know more about your Twitter post ."
564,send additional detail concern ,Please send us additional details about your concerns .
565,thank   ,Thank you . .
566,thank patience ,Thank you for your patience .
567,shortly ,We 'll call you shortly .
568,try reach voice mail ,I made another try to call you and reached your voice mail .
569,return   give need help   ,Please return my call at the # given if you still need help . .
570,okay   currently middle   return shortly thank ,"Okay , I 'm currently on the middle of something , I will return your call shortly thank you ."
571,call leave message ,I called and left a message for you .
572,return number provide dm available   ,Please return my call at the number provided or DM me when you are available . .
573,sorry want help ,I 'm sorry to see this and want to see how I can help .
574,number previously send   ,I will give you a call at the number you previously sent . .
575,hello   account related concern help ,"Hello , do you have any account related concerns that we can help with ?"
576,social care team need ,Our Social Care Team is here if you need us .
577,thank ,Thanks .
578,hi   direct message explain issue need assistance ,"Hi , can you direct message us and explain what issue you need assistance with ?"
579,happy help   use info ,"We 'd be happy to help , but we could use more info ."
580,follow   amp   dm gamertag   amp   detail ,Could you follow & amp ; DM with your Gamertag & amp ; some details ?
581,need active game pass order receive mystery gift giveaway   ,do you need a active game pass in order to receive the mystery gift from the giveaway ? .
582,hi ,Hi !
583,english support team   ok   happy help ,"We 're an English support team , if that 's ok , we 're happy to help !"
584,chat team help   tb ,Or our chat team can help : https://t.co/qSynA8s7 TB .
585,hello   thank reach ,"Hello , thanks for reaching out to us ."
586,dm gamertag detail see ,Can you DM us your gamertag and details of what you 're seeing ?
587,happen system ,what happen to your system .
588,send refund info e form ,I could not sent my refund info to e form .
589,  azhelp   use   env variable syntax functionjson ,# azhelp : why i ca n't use % env variable% syntax in my function.json ?
590,try deploy function app syntax work ,Trying to deploy Function App but that syntax not working ..
591,happy hear hardworke team take good care ,Happy to hear our hardworking team took such good care of you .
592,thank choose fly ,Thank you for choosing to fly with us .
593,thank listen help issue today ,Thank you for listening and helping when I had an issue today .
594,great customer service ,Great customer service ..
595,sorry hear ,I 'm sorry to hear this .
596,send dm order number look   paul ,Please could you send a DM with your order number so I can look into this for you ? Paul .
597,terrible delivery service worse pay extra time slot   hourslate ,Terrible delivery service even worse paying extra for a time slot # 3hourslate .
598,hey ,Hey there !
599,dm email account   ,"DM us the email on your account , please ."
600,help   ,We can help ! .
601,hey   recieve wrong order report support   place new order ,"Hey , if I recieve the wrong order and reported it to support ... should I place a new order ?"
602,   ,Or what ... ? .
603,sorry trouble ,So sorry for the trouble !
604,dm account email ,Please DM us your account email
605,look   order mess ,so we can look into this .. order was messed up .
606,get   refund deserve money ,Got a $ 5 refund when I deserve my money back .
607,food taste horrible ,Food tasted horrible ..
608,apology inconvenience ,Our apologies for any inconvenience .
609,dm detail   amp   store location ,DM us with more details & amp ; store location .
610,,https://t.co/bEVlRVM6db .
611,look little melted ,That looks a little melted .
612,dm detail help ,DM us with more details for us to help .
613,,https://t.co/bEVlRVM6db .
614,great suggestion ,Great Suggestion !
615,share comment marketing team review ,We have shared your comments with our Marketing Team for review .
616,thank tweet ,Thanks for tweeting us ..
617,look like marketing team think good idea ,Looks like Marketing Team did n't think that was a good idea .
618,motto ,What is the motto for again ?
619,like   lol fuck customer    ,"Something like "" lol Fuck Our Customers "" ? ."
620,hey godday chat support   ,hey godday do you have a chat support ? ?
621,issue m tryin sync merchandise printfull woocommerce ,I had an issue while i m tryin to sync merchandise from printfull to my woocommerce ...
622,hi   ,"Hi , that 's not something we do ."
623,domain public   spammer access contact info ,"If your domain is public , spammers have access to your contact info ."
624,domain   ,What 's the domain ? .
625,let know question   dm account number question ,"Please let us know if you have any questions , just DM us your account number and any questions you may have ."
626,center people raise have deal w   nonsense create robot system randomly cancel installation ,And give your call center people a raise for having to deal w / the nonsense created by your robot system that randomly cancels installations ..
627,hello venessa   happy assist ,"Hello Venessa , I would be more than happy to assist you ."
628,send dm ,Please send me a DM .
629,sorry order run late ,We 're so sorry your order is running late !
630,dm contact info store address ,Please DM us your contact info and store address .
631,thank   ,Thanks ! .
632,dm track contact number link look ,Please DM us your tracking and contact number via the link so we can look into this for you .
633,,https://t.co/wKJHDXWGRQ .
634,assist ,Is there something that we can assist you with ?
635,dm team ,DM our team https://t.co/wKJHDXWGRQ .
636,nt find option cancel order   ,but I ca n’t find the options to cancel or re order ? .
637,order nt arrive   th october   ,my order has n’t arrived ( it was due 14th October ) .
638,help   ,Can you help ? .
639,cancel prime membership    mloxxunxn ,Canceling your Prime membership can be done here : https://t.co / MlOxxuNX7N.
640,show estimate refund ,You 'll be shown your estimated refund there .
641,s thing tell customer service ,That s the thing I told customer service .
642,create new email address prime trial forget ,I created a new email address for the Prime trial and forgot it .
643,charge   ,What can I do so I 'm not charged ? .
644,hey corey ,Hey Corey !
645,new account turn auto renew link post ,Even on the new account you made you can turn of the auto renew through the same link posted for you .
646,log ,You have to log in .
647,remember email address ,I do n't remember the email address I used .
648,look account bank information   ,Can you look up the account by my bank information ? .
649,good touch phone chatuse link   ,It would be best if you get in touch with us by phone or chat.use this link to do so : https://t.co/hApLpMlfHN .
650,send email send guy say gon na charge ,They sent me the email I sent you guys that said I was n't gon na be charged .
651,able look account different way ,He must have been able to look up my account a different way ..
652,try phone number ,I tried my phone number
653,nt mobile account ,but I did nt have a mobile account .
654,go hour phone ,I went through this for 2 hours on the phone with someone ..
655,sorry hear able access account ,I 'm sorry to hear you 're not able to access your account .
656,use link instead contact    ,Please use this link instead to contact us : https://t.co/zYVX1Qi29G. .
657,try ,I have tried .
658,s allow access account cancel membership   nt prime month ,"It ’s not allowing me to access my account to cancel my membership , I have n’t even used prime in almost 3 months .."
659,charge amazon prime   amp   cancel   s say m member ,"being charged for amazon prime & amp ; when I go to cancel it , it ’s saying I ’m not a member 😠 😠 😠 ."
660,sorry encounter unknown charge ,I 'm sorry you 've encountered an unknown charge !
661,happy look   ,We 'd be happy to look into this with you here : https://t.co/hApLpMlfHN .
662,seriously ,Seriously ?
663,order identical washing bowl dispatch separate order ,I order 6 identical washing up bowls and they are all being dispatched as separate orders ?
664,phone buzzing non stop   ,My phone is buzzing non stop ! .
665,sorry long wait   current order status show review   ,I 'm sorry for the long wait ; what is your current order status showing when you review it : https://t.co/Y5jpI9gRhE ?
666,like help ,We 'd like to see what we can do to help .
667,date place order   version order ,"What date did you place the order on , and which version did you order ?"
668,link page item website ,Could you link us to the page of the item on our website ?
669,allow close look option ,This will allow us to take a closer look at all options .
670,website offer pre order content ,But your website is offering pre order content ....
671,s lie   ,so it ’s just a lie ? .
672,ve cancel order go well buy ,I ’ve cancelled my order and gone to Best Buy .
673,thank ,Thank you ..
674,fake item day ,Two fake items in one day .
675,time cancel amazon prime membership ,Time to cancel my Amazon Prime membership .
676,s allow update register new amazon account ,It ’s not allowing me to update it to register my new amazon account .
677,read d manually ,I read I ’d have to do so manually .
678,thx response ,Thx 4 response ..
679,sorry ,I 'm so sorry !
680,like sure address ,We 'd like to make sure this is addressed .
681,provide detail      ,Please provide some details here : https://t.co/KctVgMFvbp ( 1/2 ) .
682,like look ,We 'd like to look into this with you .
683,dm current io version iphone model ,Please DM us your current iOS version and your iPhone model .
684,,https://t.co/GDrqU22YpT.
685,definitely understand concern ,We definitely understand your concern .
686,backup iphone   update let know result   ,"Please backup your iPhone , update and let us know the result : https://t.co/ahjigcvFRG ."
687,try contact itune store team help   ,Try contacting our iTunes Store team here for more help : https://t.co/SDIe7UiyJN .
688,  time ,"it has , but not for some time now ."
689,ve try different apple id s show phone ,i ’ve tried with two different apple ids but it ’s still not showing up on my phone .
690,happy help ,We 're happy to help .
691,home sharing work device   ,Has Home Sharing worked with these devices before ? .
692,iphone   yes io ,"iPhone 6 , yes ios11 ."
693,check update   available ,"Checked for updates , none available ."
694,ve swipe close app time ve restart x ,I ’ve swiped up to close the app several times and I ’ve restarted it 2x .
695,want able call iphone ,We want you to be able to make calls on the iPhone .
696,exactly go phone app   ,What exactly is going on with the Phone app ? .
697,phone app nt work ,my PHONE app does n’t work .
698,thank update   iphone   ipod ,Thank you for updating my # iPhone to an # ipod .
699,word mean thing   iphone owner update late software having drop call history glitch s app randomly open ,if my words even mean a thing to you ; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch ’s such as apps randomly opening and more ...
700,  ihelp ,# iHelp .
701,offer support twitter english ,We offer support via Twitter in English .
702,contact help preferred language   ,Contact us for help in your preferred language here : https://t.co/IBIY3vMgPj .
703,,No I had 11.0.3
704,say   update ,but now it says 11.1 update
705,m ahead ,so i m a go ahead and do that .
706,wo nt apps fuccin download update ,why wo n’t my apps fuccin download or update .
707,help ,Here to help !
708,send note team connect ,Send us a note via https://t.co/xMxswVLBKT so our team can connect ..
709,help ,We 're here to help !
710,send dm email address follow   wtf   time try use app give crap   app website nt work ,Send us a DM with your email address so we can follow up .. wtf is this .. every time I try to use the app it gives me this crap https://t.co/sp7kMe0ogA. your app and website still do n’t work .
711,help ,Here to help !
712,send note team assist ,Send us a note via https://t.co/1xM0TILvAI so our team can assist ..
713,help ,Here to help !
714,send note team connect ,Send us a note via https://t.co/zJ6aIZinzb so our team can connect ..
715,currently review email touch shortly ,We 're currently reviewing your email and will be in touch shortly .
716,appreciate patience   ,We appreciate your patience ! .
717,dm account email address phone number look ,Please DM us with your account email address and phone number so we can look into this .
718,  able send   address   amp   email dm   amp   shortly   ,"https://t.co/sd7yH5jmbJ. Are you able to send us your name , address & amp ; email by DM please & amp ; we will get back to you shortly Mike 2/2 ."
719,hi message delivery driver end say   fuck ,hi an answerphone message from your delivery driver ended with him saying ' fuck you '
720,  obviously think phone   ,( he obviously thought he 'd put the phone down ) .
721,thank ,Thank you .
722,reach flight attendant assistance ,Please reach out to the Flight Attendants for assistance .
723,  tmt ,* TMT .
724,flight ,I 'm On Flight DL4047 to CLE .
725,man ,There is a man in 3A who is moaning in pain and sweating .
726,,He 's not well ..
727,flight attendant ,Dear cute flight attendant .
728,m board   sayin ,I ’m board ... just sayin ’ .
729,follow link request ,Please follow this link for your request .
730,thank ,Thank you .
731,  tmt ,https://t.co/an5C61CZZt * TMT .
732,bummer ,Bummer !
733,promise info hurry flight forgot leave business card ,I promised them some info and in my hurry to get to my next flight forgot to leave my business card 😩 .
734,flight lax atl ,I was on flight 2222 LAX to ATL at 645am
735,try forward message fas   able assist   ,"I 'm trying to forward a message to one of the FAs , are you able to assist ? ."
736,use link provide confirmation   ,Please use the link to provide your confirmation # .
737,  abn m book code share korean air flight   find confirmation   ticket   ke portion   ,* ABN https://t.co/6iDGBJAc2 m. booked a code share Korean Air flight on https://t.co/xFTVohudJC ; where can I find my confirmation # or ticket # for the KE portion ? .
738,help ,Here to help !
739,dm   direct message   email address follow ,Please DM ( direct message ) us your email address so we can follow up .
740,thank   ,Thanks ! .
741,desktop app work   get cool thing   easter egg ,"Desktop app still not working , but I got to see the cool thing ( Easter egg )"
742,m ecstatic   ,so I ’m ecstatic ! 😊 😊 .
743,thank ,Thanks !
744,ideal   clean reinstall app help   ,"It 's not ideal , but a clean reinstall of the app should help out : https://t.co/EqisDMwZAT ."
745,let know play kb ,Let us know how it plays out /KB .
746,macbook pro os x el capitan late spotify update   iphone s late software   spotify update   ,"using a MacBook Pro with OS X El Capitan and the latest Spotify update , and an iPhone 6S with the latest software / Spotify updates ! ."
747,hi stephen   follow dm info mum contact detail ,"Hi Stephen , follow and DM us more info along with your mum 's contact details ."
748,try   point ,"She 's been trying to do that , that 's the point !"
749,contact phone email ,You should be contacting her as she ca n't get through to you via phone or email .
750,mother able contact directly ,Is your mother able to contact us directly ?
751,  ,2/2 .
752,contact    email    detail ,Can you please contact _ _ email _ _ and can give you further details please .
753,centre bad customer serivce ,call centre has the worst customer serivce ever .
754,hold endless hour apology ,keep you on hold for endless hours without an apology .
755,mum happy   ,Mum is not happy ! .
756,hello   sorry fee way ,"Hello , I 'm sorry to see that you fee this way"
757,happy help ,and I 'm happy to help !
758,dm address ,Can you please DM the full address ?
759,at ,~AT .
760,hello   happy help ,"Hello , I will be happy to help you ."
761,dm assist   thank ,"Please DM so we can further assist you , thank you ."
762,hello   let look ,"Hello , let me look into that for you ."
763,dm account information research   thank ,"Please DM your account information so we can research this further , thank you ."
764,hello   thank reach new service concern happy help ,"Hello , thanks for reaching out about your new service concerns and I 'm happy to help ."
765,dm address ,Can you please DM the full address ?
766,at ,~AT .
767,open account xfinity need modem ,I just opened an account with xfinity and needed the modem .
768,ship house pick   ,Will it be shipped to my house or do I have to pick it up ? .
769,call time   resolution   bill house live remains   run cancel account ,"I 've called 5 times , no resolution , bill for a house i do n't live in still remains , and you all give me the run around to cancel my account ."
770,phone number associate account look issue ,and the phone number associated with your account so I can look into this issue further .
771,thank ,Thanks !
772,hi   happy check status internet service ,"Hi , I 'll be happy to check on the status of your internet services ."
773,send dm   address   ,"Please send a DM with your full name , address , ."
774,sorry difficulty experience ,We 're sorry for any difficulties that you 've experienced .
775,contact web technical support folk ,Please contact our Web Technical Support folks at 800 222 2377 ..
776,happy walk help booking process   phone hold past min ,They 'll be more than happy to walk you through it and help with the booking process .. been on phone and hold for past 45 mins .
777,look bleak ,looking bleak .
778,glad reservation team able help ,We 're glad our Reservations team was able to help ..
779,try book flight error come   system have trouble ,Trying to book a flight on and an error comes up : System having trouble .
780,have problem   ,Anyone else having problem ? .
781,airport agent happy look bag assist claim damage assess person ,An airport agent will be happy to take a look at your bag to assist with a claim but damage must be assessed in person ..
782,team need assess damage person   agent assistance ,"Our team will need to assess the damage in person , please see an agent for assistance .."
783,want care bag ,We always want to take care of your bags .
784,able file claim baggage team   ,We 're you able to file a claim with our Baggage team ? .
785,happy happy ,We 're happy when you 're happy !
786,sure look delicious ,That sure does look delicious ..
787,  creepy ,:o Creepy !
788,happy halloween ,Happy Halloween !
789,  arynh happy halloween ,* ArynH. Happy Halloween !
790,submit costume pic   thankenstein    contest win spooky trip london   plus scary surprise goody ,"Submit your costume pics with # Thankenstein + # Contest to win a spooky trip to London , plus other scary surprise goodies !"
791,,https://t.co/9M7XGcE8fx .
792,know   try chat ,So you know ! been trying to chat
793,team ask pin password nt ,but your team is asking for a pin or password I do n’t have .
794,making feel like nt want ,Making me feel like you do n’t want me back .
795,john try come t mobile want store ,John I try to come back to T Mobile but they want me to go to the store .
796,maybe team help customer service want store ,Maybe team can help because customer service want me to go to the stores
797,maybe stay current service ,maybe I just stay will my current service .
798,nt like u guy want ,Do n’t seem like u guy want me back .
799,happy team help ,Happy the team could help 😊 .
800,promise   ask nicely maybe flight attendant drink tab ,"I ca n't make any promises , but if you ask nicely maybe a Flight Attendant will put your drink on our tab !"
801,oh ,Oh no !
802,error pop app launch playback ,Does the error pop up at app launch or playback ?
803,device use ,What device is in use ?
804,  try   ,"For now , please try : https://t.co/HXpLyTU79x .."
805,hey app loading error week   think d let know ve pay aggravation tv ,"Hey your app has had a “ loading error ” for the two weeks , thought I ’d let you know I ’ve been paying for aggravation rather than tv ."
806,try uninstalle   reinstall iphone app ,Please try uninstalling / reinstalling our iPhone app .
807,change   contact phone   chat   ,"If no change , contact us via phone / chat here : https://t.co/6YdK7bvQN7 .."
808,yes   message   error play video   iphone ,"Yes , same message : error playing this video , iPhone 7 ."
809,happy assist ,Happy to further assist you .
810,send dm email address additional detail follow   ,Can you please send us a DM with your email address and additional details so we can follow up ? .
811,hi   singh ,"Hi , Singh ."
812,send dm account email address phone number locate account ,Please send us a DM with your account email address and phone number so we can locate your account .
813,thank patience   kya khassi support hai yaar ,Thanks for your patience .. kya khassi support hai yaar .
814,uber rider driver ,i am an uber rider not driver .
815,tell doc nearby uber office verification ask update cellphone number ,they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺 👺 .
816,hello   order number check   ,"Hello , do you have an order number we can check for you ? ."
817,bunch crook   nt care happy customer   y want money   save bs ,"You ’re a bunch of crooks , you do n’t care about happy customers , y’ all just want money , save me the BS ."
818,concern ,This is concerning .
819,make feel way ,What makes you feel this way ?
820,issue ,What seems to be the issue ?
821,happy assist ,We 'll be happy to assist .
822,apologize happen ,I do apologize that happened .
823,happy help assist ,I will be happy to help out and assist .
824,mind talk dm ,Do you mind talking to me through DM ?
825,rude cable guy force switch people phone rude dude   ,I 've never had a rude cable guy before until forced to switch to 😒 the people on the phone were rude and now this dude ? .
826,sorry hear experience ,We are sorry to hear about this experience .
827,dm phone number ,Please DM us your phone number
828,look ,so we can look into this !
829,,https://t.co/SXpdictw1A.
830,hey ,Hey there !
831,like look ,We 'd like to look into this .
832,dm phone number account assist ,Please DM us the phone number on your account so we can assist you further ..
833,wild thing hear   special halloween   amp   nt pass ,"The Wild Thing heard there was a $ 3 special at 4 👻 Halloween & amp ; could n’t pass it up 

"
834,hope chipotle sponsor team ,He hopes Chipotle will sponsor his team https://t.co/RkpOQwsVU0 .
835,help ,We 're here to help !
836,send dm email address detail follow   welp ,Send us a DM with your email address and more details so we can follow up .. Welp ...
837,guess bibimbap order gon na receive ,I guess that 's one bibimbap order I 'm never gon na receive .
838,good thing time order promotion ,Good thing I used a first time order promotion .
839,good impression ,Not a good first impression though ..
840,happy halloween ,Happy Halloween !
841,break ko cosplay today totally ,I broke out my KO cosplay today for and and totally not because of .
842,,Not at all .
843,,https://t.co/CkHFv3lMtB.
844,app ,Your app seems to be down .
845,sorry ,I 'm so sorry about that .
846,provide detail   ,Please provide more details here : https://t.co/Ax7W1Dx3Y9 .
847,number   ,Put 0 's in front of the number you have . .
848,verify refer verizon account number banking   ,Please verify if this is referring your Verizon account number and not your banking ? .
849,try sign autopay   site tell check account   min character ,"trying to sign up for autopay , your site tells me my checking account # must be min 12 characters ."
850,,Mine is 9 .
851,    ,So ? ? ? .
852,reboot router nd thn cable box let know issue clear   ,Reboot your router nd thn cable boxes and let us know if the issue clears please . .
853,click link start ,Click the link to get started .
854,,https://t.co/Au2NJANvHI .
855,m phone tech look like ll day internet ,I ’m on the phone with your tech now looks like I ’ll be another day without internet .
856,hello ,Hello there .
857,unable file send   provide detail ,"We are unable to see the file you sent us , please provide us more details ."
858,play game say m old psn account delete system ,Whenever i go to play my game it says i m on my old psn account which i deleted of my system .
859,ve account like ,I ve used that account like once before .
860,thank info ,Thanks for the info .
861,sure psn account local user   ,Make sure your PSN account has its own local user : https://t.co/p7d3kCczZd .
862,welcome ,You are welcome !
863,feel free contact assistance future ,Feel free to contact us for assistance in the future ..
864,hi ,Hi !
865,have issue old account   idea login   email ,"Having issue with an old account , no idea what the login / email is for it"
866,know i d ,but I know the ID .
867,hi ,Hi there .
868,create new account count content transfer account ,You can create a new account but take in count that the content can not be transferred from one account to another ..
869,wait launch   sure main account purchase own content ,"Please wait until launch , make sure you are on the main account that purchased and owns the content ."
870,update black op   ,When is the update for Black Ops 3 ? .
871,hi ,Hi there !
872,reach link assistance ,Please reach out to me at this link for assistance .
873,thank ,Thank you .
874,,https://t.co/c9WoAfwenP.
875,day leave   wwiizombie arrive doorstep ,Only three days left until # WWIIZombies arrive at your doorstep .
876,happy halloween ,Happy Halloween !
877,stay safe tonight ,Stay safe tonight .
878,  codwwii ,# CODWWII https://t.co/wHTjIiWUg1 .
