,sentences,raw_sentences
399,end trip ,I had to end my trip
400,way soon expect ,way sooner than expected
401,buy new flight way cheap change return ,Bought a new flight because it was way cheaper than changing my return .
402,need cancel return seat   ,What do I need to do to cancel my return so someone can have that seat ? .
403,platinum select aadvantage card purchase intl ticket site end british air   retain benefit aadvantage card flight   ie   early boarding    ,"if I have the platinum select aadvantage card and I purchased an int’l ticket through your site but it ended up being on British Air , will I still retain the same benefits of my aadvantage card on this flight ( I.e , early boarding ) ? ."
404,thank awesome flight home   dreamliner ,thanks for awesome flight home # Dreamliner https://t.co/ArQkp3oZh2 .
405,hey ,Hey !
406,rocky flight aa ,Rocky here on flight AA2254 .
407,suppose depart pm pm crew inform captain miss ,We were supposed to depart at 6:07PM but it is now 6:54PM and the crew just informed us that our captain is missing .
408,oh mention maintenance issue ,Oh and not to mention we also had a maintenance issue .
409,hope nyc safe sound ,Hope to make it to NYC safe and sound .
410,  disappoint ,# disappointed .
411,unfortunately say account temporarily lock system ,Unfortunately it said that my account was temporarily locked out of the system still .
412,blue cash everyday card ,The blue cash everyday card .
413,m try change account ,I ’m trying to make changes on my account
414,keep tell ve temporary lock call confirm card ,but it keeps telling me I ’ve been temporary locked out I already called to confirm my card .
415,notice pay   delivery amazon simply select free delivery option   spend qualify   rip   free automatically qualify ,"just noticed I paid £ 4.95 delivery on Amazon simply because I did not select the FREE delivery option , after I spent enough to qualify ... what a RIP OFF , why is it not free automatically when qualifying ."
416,zero service ,Zero service .
417,internet ,Internet is down .
418,restart unplugged modem ,Restarted AND unplugged my modem .
419,connection   internet   ,"No connection .. Internet down , again ."
420,th time month   believe ,"7th time this month , I believe ."
421,,95608 ..
422,newegg mobile app compatible iphone anymore ,"The Newegg Mobile app is n't compatible with my iPhone anymore 

"
423,  shit start ,"See , this is how this shit starts .."
424,guy   s week continuously app say outage report ,"Guys , it ’s been a week continuously when your app says outage reported ."
425,internet connection keep break ,And my internet connection keeps breaking up .
426,say outage report ,Saying “ Outage reported ” is not enough .
427,week     ,For a week ! ! ! .
428,ahhh   care throttle internet speed pay involve ,"Ahhh , you only care about throttling my internet speed I am paying for when is involved ."
429,interesting   um   account lock soon try login desktop ,"Interesting .. um , my account was locked as soon as I tried to login on desktop ."
430,nt receive email unlocked ,I still have n’t received an email on how to get it unlocked ....
431,need change language account able support   time   way contact   ,"I need to change the language of my account to be able to get support , which I do n't have the time to do , there 's any other way to contact ? ."
432,listen m have issue phone like ,Listen I ’m having issues with my phone so like can you me
433,talk ,so we can talk .
434,phone freezing screenshot thing turn white   like iphone plus ,not only does my phone keep freezing but when i screenshot things it turns out white ... really not liking this iphone 8 plus .
435,hi ,hi !
436,ve get issue account like hijack app   device nt know call spotiamb   ,I ’ve got an issue where my account is like hijacked with an app / device that I do n’t even know called Spotiamb 0.2.1 ..
437,   ,(1 ) .
438,nope ,Nope .
439,state away actually ,A few states away actually .
440,airbnb espnew sign verizon account espn watch ,The airbnb we 're in does n't have espnews so we signed in with our Verizon account to go to espn3 and watch .
441,allow ,Does n't allow us .
442,know espnew home ,Which I do n't get since I know we have espnews back home .
443,  gigabit internet slow verizon speed test fail repeatedly ,... when your “ gigabit ” internet is so slow that the Verizon speed test fails repeatedly ...
444,,https://t.co/qsg0ov6rXp .
445,terrible customer service   k airw reply request update ,"I have had enough of this terrible customer service , k airw do not reply to my requests for update ."
446,pay b airway   delay flight ,"I paid b airways , you delayed the flight ."
447,  hrow   take old ticket ref ,"No , when i was in hrow , they took the old tickets off me which had the ref ."
448,tell kuwait airline monday anoon flight ,No Was told it would be on kuwait airlines monday anoon flight .
449,miss bag ,where is my missing bag ?
450,br airway flight bfast hrow kuwait   delay flightput k airline mon anoon veryupset ,"On br airways flight to bfast hrow kuwait , delayed flightput on K airlines mon anoon veryupset ."
451,password save laptop   internet work   check outage sign   weird way ,"my password is saved on my laptop , my internet is n't working , and I ca n't check outages without signing in .. weird way to do it ."
452,xfinity decide reset internet d ,XFINITY decided to reset my internet again :D
453,restart stream   live ,"Had to restart stream , Live again https://t.co/vlGtF0UAit ."
454,try set new service   ask phone   zip code   say s transfer hang ,"Trying to call to set up new service ... asks for phone # and zip code , says it ’s transferring me then it hangs up ."
455,twice ,Twice now ..
456,email ,When I email
457,good customer service ,I get the best customer service .
458,people phone enable baffle ,Why the people on the phone are n't enabled to do the same just baffles me ..
459,need book flight wedding   ,Anyone who needs to book a flight for our wedding : DO IT NOW !
460,round trip   ,Round trip only $ 85 with 💍 ✈ ️.
461,thank make hour flight smooth dca sfo fall spirit ,Thank you for making my 6 hour flight smooth from DCA to SFO and your fall spirit 🌻 https://t.co/qVDeov0gYR .
462,pls check credit card got debit rm   ,Pls check because my credit card got debited RM676.90 on 24/9/2017 .
463,seriously allegation ,Please take it seriously for this allegation ..
464,  receive email phone yesterday ,No . did not receive email nor phone call yesterday .
465,s completely unacceptable ,It ’s completely unacceptable .
466,m go work go problematic ,I ’m going to work now so this is going to be problematic ..
467,food delivery pm ,food delivery due between 9 10pm .
468,arrive ,Still not arrived .
469,customer service answer ,Customer services did not answer call .
470,service close ,Services now closed .
471,,What should I do ?
472,,https://t.co/xSuRPWAivN.
473,boorito offer   order half steak   half chicken extra steak     right   ,"For the boorito offer , if you order half steak , half chicken and then extra steak , it would still be $ 3 , right ? ."
474,  burrito cool   order online wo redirect   burrito page halloween prank   ,"The $ 3 burrito is cool , but can I order online w/o being redirected to the $ 3 burrito page or is this a Halloween prank ? ."
475,wear inflatable cow costume order   burrito   ,Should I wear an inflatable cow costume to in order to get a $ 3 burrito ? .
476,nt order online   ,Why ca n’t I order online ? .
477,grocery delivery guy sit outside minute leave deliver grocery   ,why is your grocery delivery guy just sitting outside when he only has 4 minutes left to deliver my groceries ? .
478,plan scary movie marathon ,Planning a scary movie marathon ?
479,fio   nt need fear slow internet connection ,"With Fios , you do n’t need to fear a slow internet connection ."
480,,https://t.co/FdsFNiBHbp .
481,tell tell year ll   phone upgrade ,So tell me how can tell me in 2014 that “ in a year it ’ll be $ 0 down on any phone I upgrade to ...
482,   upgrade iphone plus gb ll   today   happen sign ,well . 2017 : “ To upgrade to a iPhone 7 Plus 32 gb That ’ll be about $ 560 down today :) ” what happened to what i signed up for ?
483,jump plan nt apply ,The jump plan is nt applied to me ?
484,bullshit ,Bullshit .
485,work ,still not working .
486,work ,still not working .
487,try game nt access netflix web browser ,only tried with one game but I also ca n’t access netflix or my web browser ..
488,internet connection work fine house ,my internet connection is working fine throughout the house .
489,psn   nt log account ,is PSN down ? ca n’t log into my account .
490,shareplay work today   yesterday np   ,Shareplay not working today ( yesterday np ) .
491,say game available country region ,Says game 's not available in your country or region .
492,city ,We 're in same city ?
493,    ,( 1/2 ) .
494,hithank kindness support issue isp ,Hi&amp;thanks for kindness and support my issue was about my ISP ..
495,direct flight   ,Are they direct flight ? .
496,xbox account go wrong s say s have trouble download wwii ,When something on your Xbox account went wrong and it ’s saying it ’s having trouble downloading WWII ....
497,pre order cod ww xbox right free weapon unlock double xp   ,If I pre order Cod WW2 on Xbox one right now will I still get the free weapon unlock and double Xp ? .
498,hi get emblem gow   multipli gow jp work get xp horde xp ,"hi have now got the emblem in gow 4 , but the multiplier in gow 2 JP still not working getting 50 xp on horde not 2500 xp still ."
499,respond ,Already responded .
500,response ,No response .
501,new order minute late ,New order is 30minutes late .
502,well job ,would do a better job .
503,,Using them from now on .
504,loyal customer lose ,Loyal customer just lost ..
505,app order mess ,app order messed up AGAIN .
506,pay xtra dbl meat n order salad ,I paid Xtra 4 dbl meat n ordered a salad .
507,th time ,4th time .
508,want compensation   ve lose   error month ,"I want compensation , i ve lost $ 18 to your errors in last few months ."
509,,https://t.co/6GHolsSGm6 .
510,store address blue ridge blvd   grandview mo ,"The store address is 12008 blue ridge blvd , grandview mo 64030 ."
511,phone number ,My phone number is 8106028994 .
512,hi ,Hi !
513,flight tomorrow purchase business select fare give b boarding pass number instead   correct   ,My flight for tomorrow was purchased as business select fare but it gave me a B boarding pass number instead of A1 A15 .. can you correct this ? .
514,s good way touch lose   amp   find ,what ’s the best way to get in touch with lost & amp ; found ?
515,miss bose headphone case flight msy mdw wednesday ,Missing Bose headphone case on a flight from MSY to MDW on Wednesday ..
516,money proof card read error double charge ,Can I still get my money back if I have proof that there was a card read error and I was double charged for something
517,file claim tell basically liar   ,but when I filed a claim I was told I was a basically a liar ? .
518,like   account free ,I would like to have 100 $ on my account for free .
519,sm outage ,is there an SMS outage ?
520,unable log account fa   text   unable text banking ,I have been unable to log into my account due to 2FA ( text ) and unable to do text banking .
521,thank   card expire ,Thanks .. Card is about to expire from .
522,ask expedite close end month good day ,I asked for it to be expedited since it is already close to the end of the month and the “ best ” they can do is 7 14 days .
523,helpful   loose accountive try help link yesterday phone customer service able solve ,Not helpful at all .. will i loose my account?I've tried help from that link and yesterday by phone customer service and no one is able to solve this .
524,amazon go solve ,how is Amazon going to solve this ?
525,mail   text    customer phone service   able help ,"By mail , text , call , customer phone service , no one is able to help me https://t.co/jhzCjY2bOw ."
526,try help mail problem persist   close account want customer anymore   luck keep ask code witch send phone amazon eliminate step method   frustrating ,"already tried help by mail and still problem persist , please close my account and do n't want to be a customer anymore https://t.co/m2g5tP26fX. no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method , this is so frustrating ."
527,luck receive code text   loose account   yesterday phone representative try help   m receive step code text smartphone log account get help phone luck ,"no luck on receiving the code by text or call , will I loose my account , yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU. I m not receiving 2step code by text or call in my smartphone ca n't log in into my account already got help by phone with no luck ."
528,iphone yes s get late software update ,iPhone 6 and yes it ’s got the latest software update .
529,consider get new kind phone iphone die   camera ,Really considering getting a new kind of phone since my iPhone dies with 90 % while using my camera 😤
530,nt sure ,I ca n’t say for sure .
531,start io ,It started with iOS 11 .
532,enter credit card info ,Only does it when I have to enter credit card info .
533,sure s site   tell iive update phone twice nt type letter get letter question mark ,Not sure if it ’s every site .. tell me why I️’I’ve updated my phone twice and I️ ca n’t type letter I️ without getting a letter A and a question mark .
534,iphone literally start today ,iPhone 7 and it literally just started today ..
535,nt complain lot battery iphone go   phone minute ,Do n’t complain a lot about but when battery iphone goes down 50 % after using your phone for 30 minutes .....
536,problem update ,Problems since update 11 .
537,awful service ,awful service .
538,cust hour phone get absolutely ,Call cust and an hour on the phone gets absolutely no where .
539,lie   ignore   abuse ,"Lied to , ignored , abused ."
540,,Doing well there ....
541,option delivery arrive schedule date ,I have no option but to see if my delivery arrives on the scheduled date .
542,contact customer service arrive time ,But I will contact customer services if it does n't arrive on time ..
543,phone instal io ,No just on my phone since I installed iOS 11 .
544,g g ,Mostly on 3G/4 g.
545,s random decide work ,It ’s very random when it decides not to work ..
546,log account say password incorrect ,I ca n't log into my account as it 's saying my password is incorrect
547,year ,but it 's the same one I 've used for years !
548,update email address ,I updated my email address
549,say account register address   ,but it 's saying I do n't have an account registered to that address ? .
550,nt lock screen ,Does n’t show in lock screen .
551,nt adjust volume phone nt unlocked ,Ca n’t adjust volume of phone is n’t unlocked also ..
552,manage quick cuddle legged passenger flight jnb lhr ,Managed a quick cuddle with our four legged passenger before his 56 flight from JNB to LHR .
553,comfortable   help ,He was very comfortable 🐶 ☺ ️ https://t.co/CAqgi1eJgN. Help .
554,book flight second ago add extra letter end pax ,Just booked a flight seconds ago and now see I have added an extra letter to end of a PAX name .
555,way fix letter extra ok   ,Is there a way to fix or one letter extra OK ? .
556,teapot pleasant flight muc evening ,Me and my teapot had a pleasant flight with to MUC this evening .
557,thank ,thank you .
558,thank reply oliver ,Thanks for your reply Oliver .
559,twitter nt work night telephone executive club ,My Twitter was n’t working very well last night so I telephoned the Executive Club ..
560,executive club account hack ,my Executive Club account has been hacked .
561,pm ,Please pm me ..
562,online check credit card fly   ,Done online check in but do n't have the credit card can I still fly ? .
563,problem server   try book flight car get message ,"is there a problem with server , as trying to book flight and car gets a message"
564,sorry   have problem   ,"Sorry , having problems ! ."
565,  hour flight   amp   give   vegan class breakfast ,13.5 hour flight & amp ; this is all I was given for # vegan First Class breakfast .
566,soymilk tea hot meal ,No soymilk for tea or hot meal .
567,disgraceful ,Disgraceful .
568,  place order friday gb month free sim live chat ,https://t.co/aBUbzluYyU. I placed an order on Friday for £ 20 for 20 GB with 3 months free Sim Only thru Live Chat .
569,look account ,When I look at my account ..
570,show month ,It shows £ 33 per month ?
571,nt talk anybody live chat ,And I ca n’t talk to anybody on Live Chat now ..
572,  ,Is it down ? .
573,internet min ,internet has been down for almost 30 mins now ...
574,  mobilecare internet drop periodically couple minute time ,# mobile_Care Internet drops periodically for a couple minutes at a time .
575,app say internet fine ,App says internet is fine .
576,fix   ,How can i fix this ? .
577,amazon delivery guy refuse police i d suddenly start sound like attorney ,Amazon delivery guy refused to give the police his ID and suddenly started sounding like an attorney .
578,good grief ,Good grief .
579,guy officially lose customer ,And you guys have officially lost me as a customer .
580,promise today   ship ,Was promised today ... was never shipped .
581,refund ,Give me my refund
582,,please
583,business ,so I may take my business else where .
584,  get refund ,https://t.co/69tW0B5r9H. I got a refund
585,wanna check actually lose ,but I wanna check to see if it 's actually lost .
586,ask amazon delivery driver   slink away call police   ,You could ask the other Amazon Delivery driver who was there ( and then slinked away when I called the police ) .
587,,I did n't get his name .
588,require id ,You should require IDs .
589,try place order happen delete rentering address fix ,Trying to place an order this happened before and deleting and rentering my address fixed it
590,multiple prime account address ,but now it 's across multiple prime accounts to the same address .
591,  mobilecarexi ,# mobile_CareXI
592,internet day   day issue ,"no internet all day again , third day with issues ."
593,solution   ,What is your solution ? .
594,send email give k mile flight delay complain twitter ,just sent me an email giving me 20k miles for a flight delay I complained about on Twitter .
595,nice job   friend ,"Nice job , my friends .."
596,wow ,Wow .
597,allow steal phone number tell fix phone number ,just allowed someone to steal my phone number and told me they could n't fix it unless they could call me on my phone number ..
598,guy give phone number away call security alert ,You guys just gave my phone number away after I called in a put on a security alert .
599,need help immediately ,Someone needs to help me immediately ..
600,past min mark luggage ,we are past the 30 min mark and no luggage .
601,baggage agent ,No baggage agent either .
602,flight seattle austin ,Flight 670 Seattle to Austin .
603,wait flight depart   amp   gate agent announce delay      ,Waiting for my flight to depart & amp ; the gate agent announces that the delay is due to a vomit clean up ... # ohgreat # alaskaairlines # tmi # ignoranceisbliss
604,  ,# gross .
605,thx ,Thx !
606,,Will do .
607,hope flight crew update   entire plane ,"Hoping our flight crew provides updates , so the entire plane participates ."
608,  alaskarock ,# AlaskaRocks .
609,  broadcast   applecup flight   badtime   gocoug ,"please , please broadcast the # AppleCup on flight 447 # badtiming # GoCougs ."
610,captain alaska flight call korean war vet cockpit thank service ,Captain of our Alaska flight just called a Korean war vet up to the cockpit to thank him for his service .
611,good stuff ,Good stuff .
612,  alaskaair   flight ind sea final boarding call list start boarding time ,# AlaskaAir . why does flight 501 IND SEA always have final boarding called at the listed START boarding time ?
613,currently sit gate door close   min ,Currently sitting at the gate with doors closed for 30 + min .
614,time flight number ,Not the first time on this flight number .
615,shout flight midland land right   wo nt miss   worldserie ,Shout out to for a flight to Midland that lands right at 7:30 so I wo n’t miss the # WorldSeries .
616,iphone s   amp   try thing troubleshooting tip suggest ,I am using an iPhone 6s & amp ; I tried the things that the troubleshooting tips suggest ..
617,phil   s iphone s   black nt cover battery die ,"Phil , it ’s an iPhone 6s , black does n’t have a cover and battery had died ."
618,th carriage   toilet ,"I was in about the 4th carriage , was one with toilet in ."
619,iphone locate car park oxford train station harrow ,My iPhone has been located in the car park at Oxford train station and in Harrow .
620,provide phone number ,Could you please provide phone numbers .
621,,https://t.co/YSnelaWzfu .
622,hello ve leave iphone train    eale broadway langley   ,"Hello i ’ve left my iphone on the train , i was on 22.35 from Ealing Broadway to Langley 22.57 ."
623,help   ,Can you help ? .
624,nt order online stupid dress damn   burrito event ,Ca n’t order online because of this stupid dress up for a damn $ 3 burrito event !
625,block online ordering ,blocked online ordering .
626,,🤦 🏾‍ ♀ ️.
627,code chipotle app grind gear ,Whoever coded the Chipotle app grinds my gears .
628,want order fooood ,I want to order fooood 😩 .
629,think upgrade wife s iphone ,thinking about upgrading my wife ’s iPhone 6 .
630,good offer   ,What is your best offer ? .
631,complain poor quality food pack ,who can I complain to about poor quality with food packs ?
632,spoken store question nt helpful ,Have spoken to store in question but they are n’t helpful at all ?
633,email phone number able help ,Do you have an email or phone number of someone who may be able to help ?
634,thank ,Thanks .
635,try presentation entire house internet   wonderful wonderful ,Trying to do my presentation and my whole entire house has no internet ... wonderful just wonderful get it together .
636,account temporarily suspend   wonder email     ,"My account has been temporarily suspended , and I was wondering why but I have not been emailed yet ? ? ? ."
637,way psn account unbanne ,Is there a way to get a psn account unbanned .
638,m currently receive enquiry delivery info nt respond go cost lose sale ,I ’m currently receiving enquiries regarding delivery info which I ca n’t respond to which is going to cost me in lost sales .
639,delivery driver   nt open app constantly respond query want let know min away ,"But as a delivery driver , I ca n’t be opening the app constantly to respond to queries and if someone wants to let me know they ’re 5mins away ."
640,  coxri ,# coxri
641,know work hard ,I know you ’re working hard .
642,little update etr help lot ,Just a little update or ETR WOULD HELP A LOT https://t.co/6tbwbd4WSS .
643,hi ,Hi there !
644,need infos opening checking account bofa foreigner ,I need some infos about opening a checking account at BofA for foreigners .
645,gon na miami week ,I 'm gon na be in Miami next week only for this
646,use help ,and I really could use some help .
647,possible cancel pre order ,is it possible to cancel a pre order .
648,allow england v brazil ,One that will allow me to get to and from England V Brazil .
649,probably train wat ,Would probably be on the train from WAT after 12 am .
650,tryig order app try website work ,i 'm tryig to order off the app and i 've tried on the website and it is n't working .
651,order come   tax tip charge nearly   ,When your order came to be $ 30 after tax and tip but they charge you nearly $ 40 .
652,neat ,Neat
653,charge order account decline purchase ,Why would charge more than my order to my account and then decline the purchase 🤔
654,hate app s glitchy ,I hate that app it ’s so glitchy 😩 .
655,mannnnn garbage chick straight ghost order try pay ,Mannnnn is garbage chick straight ghosted my order but they ’re still trying to make me pay for it .
656,hi ,hi !
657,charge dollar order say buck postmate app ,I was charged 55 dollars for my order when it said it was 36 bucks on the postmates app ?
658,change ,Will that change ?
659,thank   ,Thank you ! .
660,big regret   sign   wait internet charging ,Biggest regret of 2017 : signing up with ... still waiting for them to give me the internet they ’re charging me for .
661,get duty super stoke   ,Got call of duty and I was super stoked ! !
662,turn internet ai nt fast ,turns out my internet ai n’t fast enough .
663,thank thank take week install new internet   get home tally internet break   call customer service ,"Thanks and thanks to for taking 3 weeks to install my new internet 😑 . got home to tally and my internet is broken , called customer service"
664,say s attack router ,and they said there ’s been an attack on our router ..
665,let brick shit smh ,how you let someone brick my shit smh .
666,try order bond dsl get conflict answer customer support ,Trying to order bonded DSL but getting conflicting answers from customer support .
667,help    ,Help ! ! .
668,hello ,Hello  
669,like assist ,I would like to assist you .
670,send dm order number ,Please send me a DM with your order number .
671,thank you - nick ,Thank you!-Nick .
672,hello ,Hello  
673,happy assist ,I would be happy to assist you .
674,dm order number - n buy pc case yesterday    today   ,Can you please DM me your order number?-N. I bought a PC case yesterday for $ 69.99 and today it 's $ 5 off .
675,refund difference   ,Can you refund me the difference ? .
676,dear new update suck   problem phone ,"Dear this new update sucks , I have too many problems with my phone now !"
677,blurry screen   black screen   frozen phone   ,"Blurry screen , black screen , frozen phone ! ."
678,heyyy wait version io nt complete shit iphone nt brand new ,"Heyyy still waiting on a version of iOS 11 that is n’t complete shit 

 — Everyone with any iPhone that is n’t the brand new one ."
679,iphone redemarrer       ,why does my iphone 6 is redémarrer alone ! ! ! ! ! .
680,need information refund groupon ,I need to get information about refund from Groupon ..
681,  call ask dlc nt appear redeem ,"Now , all of this was because we called to ask why DLC was n’t appearing after being redeemed ."
682,need constant internet connection   ,do we need a constant internet connection ? .
683,  fuck ,"First of all , fuck you ."
684,second   nt   ,"Second , what if we did n’t ? ?"
685,way   thankfully find friend   get account   guess    ,"Either way , thankfully we found a friend , got the account back , but guess what ? ! ."
686,surprise   problem ,"Surprise , problem ."
687,nt account xbox ,Now we ca n’t get the account back on the xbox .
688,supervisor response ,Supervisors response ?
689,nt friend nearby ask   ,“ Do n’t you have a friend nearby that you can ask ? ” .
690,delete account device   nt connect internet   troubleshoot work   bring ,"how would deleting an account off a device ( that ca nt connect to internet ) to troubleshoot it work , be brought back ?"
691,oh   ca nt ,"Oh , IT CANT .."
692,d like know fuck employ people nt train know fucking job ,i ’d like to know why the fuck you employ people and do n’t train them to know their fucking jobs ..
693,party invite fine game invite issue limit dead daylight find away issue end ,Party invites are fine and the game invite issue seems to be limited to dead by daylight found away around the issue in the end
694,update keep start stop restarting reconnecte internet multiple time work ,The updates kept starting and stopping but after restarting and reconnecting my internet multiple times it seems to be working .
695,s station train stop   dad wait preston   staff nt give info ,"She ’s not at a station the train stopped between them , my dads waiting at Preston , staff are n’t giving any info ..."
696,taxi pay   ,can she get a taxi paid ? .
697,mum stuck train warrington wigan chance get taxi sort   ,My mum is stuck on a train between Warrington and Wigan any chance of her getting her a taxi sorted ? .
698,train be preston blackburn nt seriously expect wait hour train home   ,The next train is 4.40am from Preston to Blackburn you ca n’t seriously expect her to wait almost 5 hours for a train home ? !
699,s freeze   ,It ’s freezing ! .
700,nt know account number ,I do n’t know my Account Number .
701,order online thy send multiple defective item nt care customer satisfaction ,NEVER order from online because thy send multiple defective items and do n’t care for customer satisfaction .
702,yo papa seriously charge    packet crush red pepper parm cheese ,Yo Papa you 're seriously charging $ 0.25 per packet of crushed red pepper and parm cheese ?
703,refund money   add credit account time wo nt pay ,Refund my money .. Someone added a credit to my account so next time I wo n’t have to pay for them .
704,thank   ,Thank you ! .
705,long usually account recovery ,how long does it take usually for account recovery to get back to you ?
706,s week ,It ’s been about a week now ..
707,las phl smile crew   amp   terminal phl dub flight awful   ,LAS PHL 734 1135am not 1 smile between the whole crew & amp ; your terminal for PHL DUB flight is awful ! .
708,set fingerprint phone get savsung galaxy jprime ,How to set up fingerprint on my phone I got savsung galaxy j3prime .
709,app phone finger print phone ,What app should I put on my phone to do finger print on my phone .
710,interact rudest flight attendant flight ord slc ,Interacted with one of the rudest flight attendants on flight 1305 from ORD to SLC .
711,patient   ,"Be patient , she 's only 4 ."
712,  flydeltainstead ,# flydeltainstead .
713,typical delay joke train company ,Typical delays as always what a joke of a train company .
714,  new   passenger take ill train coventry   amp   birmingham new street   service run station expect delay min ,"* NEW * due to a passenger being taken ill on a train between Coventry & amp ; Birmingham New Street , services running through this station are expected to be delayed by up to 30mins .."
715,card declnd state   call ph   past hour   amp   state acct info find   amp   hang ,"card declnd out of state , calling ph # past few hours & amp ; states no acct info found & amp ; hangs up !"
716,unacceptable   go   ,"This is unacceptable , what 's going on ? ."
717,update flight den bo ,any updates on flight 6353 from DEN to BOS ?
718,hour bit ,Four hours is a bit much 😩 .
719,agent telesale   che chin   basically tell I d    manager supervisor escalate issue   ,"the last agent in telesales , Ching or Chin , basically told me he has not ID # , and NO MANAGER OR SUPERVISOR TO ESCALATE MY ISSUE TO ! ."
720,flight sf got upgrade thank   ,My flight back to SF just got upgraded 🙌 🏾 thanks ! 😊 .
721,instal io      make iphone slow nt work properly help   ,"I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and does n’t work properly can you help me ? ."
722,flight attendant state passenger tired bell go off- ,When a flight attendant states in front of the passengers that she is tired of the call bells going off-
723,issue service ,it 's an issue with the service ..
724,iphone fully date phone freezing     ,my iPhone is a fully up to date so why does my phone keep freezing 🙃 ? ? ? .
725,iphone se promotion website store    ,is the iPhone SE promotion only on the website or is it in store also ? ! .
726,thank ,Thank you .
727,speak customer service nice   amp   helpful   amp   straight competent logistic person document issue   research acct   amp   go contact delivery ,"Spoke with customer service who was very nice & amp ; helpful & amp ; put me straight through to a Competent logistics person who documented issue , researched my acct & amp ; was going to contact delivery"
728,svc directly ensure procedure follow ,Svc directly to ensure procedures followed .
729,time tell ,Time will tell .
730,thank ,Thank you ..
731,try end page provide package feedback difficult ,I tried that and ended up On page to provide package feedback too difficult
732,time search customer service number follow direct message ,and I did not have the time to search for your customer service number so if you follow me we can direct Message one another
733,cell phone ,and I can give you my cell phone .
734,morning ,Will do in morning .
735,way   ve complain issue time twice directly carrier   question ,"By the way , I ’ve complained about this same issue 3 times and twice before directly to carrier .. Question !"
736,send gift card   maybe digital   ,Can we send a Gift Card ( maybe digital ) out of US ?
737,panama want send gift card panama ,I 'm in Panama and want to send a gift card to someone in Panama .
738,bad delivery service receive life ,Some of the worst delivery service I have ever received in my life .
739,order food hungry neighborhood kid   cancel order hour wait ,"We ordered food on for 8 hungry neighborhood kids , AND THEY CANCELLED THE ORDER AFTER AN HOUR OF WAITING ."
740,r effn kidding    ,R you eff'n kidding me ? ! .
741,hi ,Hi .
742,lose phone uber ,I lost my phone in an Uber .
743,app ask submit phone number contact   mobile travel ,"App asks me to submit my phone number to make contact , I only had mobile as travelling .."
744,terrible single flight terminal delay     ,Also how terrible is it that almost every single flight in this terminal is delayed ? ? ? ?
745,guess pay ,Guess you get what you pay for ..
746,service ,My service is always on and off .
747,ironically need have reboot reset internet ,Ironically when I need it most I 'm having to reboot and reset my internet
748,inconvenient ,and it 's very inconvenient .
749,get frustrate lately ,Getting really frustrated with lately .
750,start look new cable internet provider   late pre order iphone x jump program ,Starting to look around for new cable and internet provider . is too late to pre order the iphone x through if I have the JUMP Program .
751,good idea work intercom flight ,might be a good idea 2 have working intercoms on flights .
752,flight attendant literally sound like adult talk charlie brown ,Flight attendant literally sounds like adults talking on Charlie Brown .
753,long day work ,Long day at work .
754,long flight work ,Long flight for work .
755,long day away kid hubby ,Long days away from the kids and hubby .
756,appreciate free drink tonight ,Really appreciate the free drinks tonight .
757,hey group flight booking    ,Hey do you do group flight bookings ? ! .
758,oh look internet ,Oh look my internet is out as well !
759,pay    month blink fucking light ,I 'm paying you $ 250 / month for a blinking fucking light !
760,,https://t.co/PNwKOVUD0C.
761,u bc pm ,Nothing u can do now bc it 's 6 pm here .
762,tech sche tmw ,Tech sched again 4 tmw 10 am .
763,work depend internet v frustrated ,Work depends on internet so v frustrated ..
764,appreciate response   speak phone fix ,"I appreciate the response , spoke with someone on the phone to fix it ."
765,apparently modem unsure speed get   ,Apparently my modem was unsure what speed i should have so i got .66 .
766,order complete issue address show system multiple people fix ,The order was not completed because there was an issue regarding my address not showing up in the system which multiple people could not fix https://t.co/75F8uCOmbU.
767,s online order ,It ’s not an online order .
768,try triple play order telephone service   got disconnect   order find ,"I tried to make a triple play order via telephone services , got disconnected , and the order can not be found now ."
769,order complete issue address show system multiple people fix   drive wall way pende order go ,The order was not completed because there was an issue regarding my address not showing up in the system which multiple people could not fix https://t.co/qmJSKw54vS. is driving me through the wall with how the way my pending order is NOT going .
770,have issue couple hour try signup access new account ,Been having an issue for a couple hours now trying to signup and now access my new account .
771,help ,Help ?
772,,https://t.co/4xiV4wgMw4 .
773,purchase game accidentally know able get refund ,I purchased a game accidentally and I do n't know how I 'd be able to go about getting a refund for it .
774,hi iam bught   psn card lose ,Hi Iam bught 50 $ psn card and i lost 2
775,letter ihave acard ican imagine ,Letter now ihave acard and ican imagine him .
776,  vendor account enter associated item try open   try open book new ade ,""" The vendor account you entered is not associated with the item you are trying to open "" when I try to open books with new ADE ."
777,thank ,Thank you .
778,issue resolve ,Issue has been resolved .
779,error ,It was my error ..
780,run late update macbook pro app attach creative cloud account update ,I ran latest update on my MacBook pro and in that apps attached to my creative cloud account also updated .
781,loose photoshop subscription ,Loosing Photoshop subscription ..
782,buy printer advertise compatible mac ,Bought a printer from you as it is advertised as compatible with Mac .
783,  spend pm try resolve staff get ,"It is n't , I spent from 11 am until 8 pm trying to resolve this with your staff and got nowhere ."
